alpha,Method,SST (h)_mean,SST (h)_std,Hard Capacity Removal (%)_mean,Natural Loss (%)_mean,Total Loss (%)_mean,Final Capacity (%)_mean,Throttled Load (%)_mean,Dropped Load (%)_mean,nodefence_mean_h,delta_vs_nodefence_mean_h,ratio_vs_nodefence_mean
0.5,GAT-SAC (Ours),6.957,1.111,0.0,40.705,40.705,59.295,13.265,6.699,4.399,2.558,1.582
0.5,Heuristic Pruning (Graceful Drain),4.779,0.738,0.0,40.677,40.677,59.323,0.224,0.204,4.399,0.38,1.086
0.5,No Defence,4.399,0.67,0.0,40.671,40.671,59.329,0.0,0.102,4.399,0.0,1.0
0.7,GAT-SAC (Ours),8.677,1.478,0.0,40.622,40.622,59.378,13.265,6.688,4.407,4.27,1.969
0.7,Heuristic Pruning (Graceful Drain),5.035,0.795,0.0,40.74,40.74,59.26,0.214,0.196,4.407,0.628,1.143
0.7,No Defence,4.407,0.665,0.0,40.707,40.707,59.293,0.0,0.102,4.407,0.0,1.0
0.9,GAT-SAC (Ours),10.39,1.814,0.0,40.537,40.537,59.463,13.265,6.68,4.514,5.877,2.302
0.9,Heuristic Pruning (Graceful Drain),5.198,0.851,0.0,40.545,40.545,59.455,0.205,0.188,4.514,0.684,1.152
0.9,No Defence,4.514,0.634,0.0,40.711,40.711,59.289,0.0,0.1,4.514,0.0,1.0
1.1,GAT-SAC (Ours),12.72,2.279,0.0,40.686,40.686,59.314,13.266,6.675,4.512,8.208,2.819
1.1,Heuristic Pruning (Graceful Drain),5.427,0.904,0.0,40.562,40.562,59.438,0.197,0.181,4.512,0.915,1.203
1.1,No Defence,4.512,0.665,0.0,40.638,40.638,59.362,0.0,0.101,4.512,0.0,1.0
1.3,GAT-SAC (Ours),15.298,2.669,0.0,40.647,40.647,59.353,13.265,6.672,4.524,10.774,3.382
1.3,Heuristic Pruning (Graceful Drain),5.613,0.953,0.0,40.59,40.59,59.41,0.191,0.175,4.524,1.09,1.241
1.3,No Defence,4.524,0.644,0.0,40.649,40.649,59.351,0.0,0.101,4.524,0.0,1.0
1.5,GAT-SAC (Ours),18.731,3.124,0.0,40.429,40.429,59.571,13.266,6.668,4.56,14.172,4.108
1.5,Heuristic Pruning (Graceful Drain),5.902,1.095,0.0,40.594,40.594,59.406,0.183,0.168,4.56,1.343,1.294
1.5,No Defence,4.56,0.701,0.0,40.745,40.745,59.255,0.0,0.101,4.56,0.0,1.0
