Seed,Method,Remaining Capacity at 6h (%),Unavailable Capacity at 6h (%),AUPC over first 6h
100,No Defence,32.68478115322062,67.31521884677937,3.049373512545093
100,Heuristic Throttle (30%),36.54797445631999,63.452025543680016,3.2034169675528936
100,GAT-SAC (Ours),45.933983091917504,54.066016908082496,3.5901627970402674
101,No Defence,29.46893340554519,70.5310665944548,3.108910519543565
101,Heuristic Throttle (30%),38.53216722442027,61.46783277557972,3.2871633200973545
101,GAT-SAC (Ours),52.20689611764009,47.79310388235991,3.761253377142367
102,No Defence,35.35912928355416,64.64087071644585,3.3659677416055054
102,Heuristic Throttle (30%),41.03539908312883,58.96460091687117,3.450394162109224
102,GAT-SAC (Ours),55.848738619398745,44.151261380601255,3.9533699849300614
103,No Defence,26.95150506549593,73.04849493450408,3.0082317663588944
103,Heuristic Throttle (30%),37.06478460209303,62.93521539790697,3.2198718872047483
103,GAT-SAC (Ours),55.146765866964785,44.853234133035215,3.8094963602991276
104,No Defence,29.235299717087283,70.76470028291271,2.9220967169277596
104,Heuristic Throttle (30%),45.41682564092015,54.58317435907985,3.3411919991411834
104,GAT-SAC (Ours),61.60558788517214,38.39441211482786,4.0816634486913905
105,No Defence,36.24437522463611,63.7556247753639,3.244132972934673
105,Heuristic Throttle (30%),39.653675636692654,60.346324363307346,3.3228196912053205
105,GAT-SAC (Ours),52.43121728116012,47.56878271883988,3.8797311721760943
106,No Defence,31.246924553558188,68.75307544644181,3.2436198800825027
106,Heuristic Throttle (30%),40.141869078670865,59.858130921329135,3.3884848310927467
106,GAT-SAC (Ours),52.349317160911966,47.650682839088034,3.7973165359131045
107,No Defence,32.73206498556631,67.26793501443369,3.089262678729061
107,Heuristic Throttle (30%),40.537509187716935,59.462490812283065,3.2335814661531823
107,GAT-SAC (Ours),55.18119969938184,44.81880030061816,3.9480149534567484
108,No Defence,35.92261713685268,64.07738286314732,3.2516172446153786
108,Heuristic Throttle (30%),42.48486700170609,57.51513299829391,3.397617789792074
108,GAT-SAC (Ours),56.25865441489603,43.74134558510397,3.8470481670463688
109,No Defence,35.36932384602366,64.63067615397632,3.3793367939601646
109,Heuristic Throttle (30%),43.59997248746338,56.40002751253661,3.506567934437485
109,GAT-SAC (Ours),56.83606401301064,43.16393598698936,3.925756481870313
