Drop Fraction,Method,Scenario,SST (h)
0.0,No Defence,1,4.033333333333333
0.0,No Defence,2,4.016666666666667
0.0,No Defence,3,3.283333333333333
0.0,No Defence,4,3.033333333333333
0.0,No Defence,5,3.783333333333333
0.0,No Defence,6,3.3
0.0,No Defence,7,3.4499999999999997
0.0,No Defence,8,3.8
0.0,No Defence,9,3.0
0.0,No Defence,10,4.2
0.0,No Defence,11,3.2
0.0,No Defence,12,2.6166666666666667
0.0,No Defence,13,3.0
0.0,No Defence,14,3.35
0.0,No Defence,15,3.033333333333333
0.0,No Defence,16,4.216666666666667
0.0,No Defence,17,3.5
0.0,No Defence,18,3.8333333333333335
0.0,No Defence,19,3.183333333333333
0.0,No Defence,20,3.0
0.0,GAT-SAC (Ours),1,4.366666666666666
0.0,GAT-SAC (Ours),2,4.233333333333333
0.0,GAT-SAC (Ours),3,3.8166666666666664
0.0,GAT-SAC (Ours),4,3.4499999999999997
0.0,GAT-SAC (Ours),5,3.55
0.0,GAT-SAC (Ours),6,3.1333333333333333
0.0,GAT-SAC (Ours),7,3.35
0.0,GAT-SAC (Ours),8,4.366666666666666
0.0,GAT-SAC (Ours),9,3.216666666666667
0.0,GAT-SAC (Ours),10,3.7333333333333334
0.0,GAT-SAC (Ours),11,3.65
0.0,GAT-SAC (Ours),12,3.0833333333333335
0.0,GAT-SAC (Ours),13,3.0
0.0,GAT-SAC (Ours),14,3.2
0.0,GAT-SAC (Ours),15,3.35
0.0,GAT-SAC (Ours),16,4.116666666666666
0.0,GAT-SAC (Ours),17,3.2666666666666666
0.0,GAT-SAC (Ours),18,4.666666666666667
0.0,GAT-SAC (Ours),19,4.183333333333334
0.0,GAT-SAC (Ours),20,3.6166666666666667
0.0,DQN Baseline (Discrete),1,0.5333333333333333
0.0,DQN Baseline (Discrete),2,0.5333333333333333
0.0,DQN Baseline (Discrete),3,0.5333333333333333
0.0,DQN Baseline (Discrete),4,0.5666666666666667
0.0,DQN Baseline (Discrete),5,0.5666666666666667
0.0,DQN Baseline (Discrete),6,0.55
0.0,DQN Baseline (Discrete),7,0.45
0.0,DQN Baseline (Discrete),8,0.6
0.0,DQN Baseline (Discrete),9,0.5333333333333333
0.0,DQN Baseline (Discrete),10,0.6333333333333333
0.0,DQN Baseline (Discrete),11,0.6166666666666667
0.0,DQN Baseline (Discrete),12,0.5666666666666667
0.0,DQN Baseline (Discrete),13,0.5333333333333333
0.0,DQN Baseline (Discrete),14,0.4666666666666667
0.0,DQN Baseline (Discrete),15,0.6166666666666667
0.0,DQN Baseline (Discrete),16,0.6333333333333333
0.0,DQN Baseline (Discrete),17,0.55
0.0,DQN Baseline (Discrete),18,0.4666666666666667
0.0,DQN Baseline (Discrete),19,0.48333333333333334
0.0,DQN Baseline (Discrete),20,0.5833333333333334
0.05,No Defence,1,4.033333333333333
0.05,No Defence,2,4.016666666666667
0.05,No Defence,3,3.8166666666666664
0.05,No Defence,4,3.033333333333333
0.05,No Defence,5,4.0
0.05,No Defence,6,3.3
0.05,No Defence,7,3.4499999999999997
0.05,No Defence,8,3.55
0.05,No Defence,9,3.0833333333333335
0.05,No Defence,10,4.233333333333333
0.05,No Defence,11,3.4166666666666665
0.05,No Defence,12,3.216666666666667
0.05,No Defence,13,3.0
0.05,No Defence,14,3.8833333333333333
0.05,No Defence,15,3.1666666666666665
0.05,No Defence,16,4.216666666666667
0.05,No Defence,17,3.5
0.05,No Defence,18,4.0
0.05,No Defence,19,3.2
0.05,No Defence,20,3.3
0.05,GAT-SAC (Ours),1,8.966666666666667
0.05,GAT-SAC (Ours),2,11.85
0.05,GAT-SAC (Ours),3,8.366666666666667
0.05,GAT-SAC (Ours),4,12.633333333333333
0.05,GAT-SAC (Ours),5,11.566666666666666
0.05,GAT-SAC (Ours),6,9.416666666666666
0.05,GAT-SAC (Ours),7,7.916666666666667
0.05,GAT-SAC (Ours),8,13.483333333333333
0.05,GAT-SAC (Ours),9,8.566666666666666
0.05,GAT-SAC (Ours),10,9.516666666666666
0.05,GAT-SAC (Ours),11,12.416666666666666
0.05,GAT-SAC (Ours),12,9.916666666666666
0.05,GAT-SAC (Ours),13,7.316666666666666
0.05,GAT-SAC (Ours),14,7.266666666666667
0.05,GAT-SAC (Ours),15,7.283333333333333
0.05,GAT-SAC (Ours),16,15.166666666666666
0.05,GAT-SAC (Ours),17,11.6
0.05,GAT-SAC (Ours),18,14.716666666666667
0.05,GAT-SAC (Ours),19,7.6499999999999995
0.05,GAT-SAC (Ours),20,9.466666666666667
0.05,DQN Baseline (Discrete),1,0.5833333333333334
0.05,DQN Baseline (Discrete),2,0.5
