rho_center,rho_left,rho_right,n_total,n_burst,p_burst
0.025,0.0,0.05,4831099,434,8.98346318301488e-05
0.07500000000000001,0.05,0.1,2671707,631,0.0002361785929370249
0.125,0.1,0.15000000000000002,1069374,2501,0.0023387514564595737
0.17500000000000002,0.15000000000000002,0.2,376254,4177,0.01110154310651847
0.225,0.2,0.25,217558,4962,0.02280771104716903
0.275,0.25,0.30000000000000004,148902,5530,0.03713852063773489
0.32500000000000007,0.30000000000000004,0.35000000000000003,98731,4420,0.04476810728140098
0.375,0.35000000000000003,0.4,101668,4387,0.04315025376716371
0.42500000000000004,0.4,0.45,81762,3570,0.04366331547662729
0.475,0.45,0.5,81538,3984,0.04886065392822978
0.525,0.5,0.55,69583,5593,0.08037882816205108
0.5750000000000001,0.55,0.6000000000000001,38112,5521,0.14486251049538204
0.625,0.6000000000000001,0.65,30818,8091,0.2625413719254981
0.675,0.65,0.7000000000000001,19905,5659,0.2843004270283848
0.7250000000000001,0.7000000000000001,0.75,14559,4254,0.29219039769214916
0.775,0.75,0.8,17046,6010,0.3525753842543705
0.8250000000000001,0.8,0.8500000000000001,22003,9148,0.41576148706994503
0.875,0.8500000000000001,0.9,25242,10268,0.4067823468821805
0.925,0.9,0.9500000000000001,31491,24940,0.79197230954876
0.9750000000000001,0.9500000000000001,1.0,52648,52648,1.0
