incident_id,provider,severity,duration_minutes,timestamp,component_type,region
INC001,Provider_A,major,145,2023-01-15T08:23:00Z,compute,region_1
INC002,Provider_A,minor,32,2023-01-18T14:45:00Z,network,region_2
INC003,Provider_B,critical,287,2023-01-22T03:12:00Z,storage,region_1
INC004,Provider_C,major,98,2023-02-01T11:30:00Z,compute,region_3
INC005,Provider_A,minor,15,2023-02-05T16:20:00Z,database,region_1
INC006,Provider_B,major,156,2023-02-10T22:45:00Z,compute,region_2
INC007,Provider_D,minor,45,2023-02-14T09:15:00Z,network,region_1
INC008,Provider_C,critical,412,2023-02-18T01:30:00Z,compute,region_4
INC009,Provider_A,major,89,2023-02-22T13:00:00Z,storage,region_2
INC010,Provider_B,minor,28,2023-02-26T17:40:00Z,network,region_3
INC011,Provider_E,major,167,2023-03-02T06:10:00Z,compute,region_1
INC012,Provider_A,minor,22,2023-03-05T10:25:00Z,database,region_2
INC013,Provider_C,major,134,2023-03-09T19:55:00Z,network,region_1
INC014,Provider_B,critical,356,2023-03-14T02:40:00Z,compute,region_3
INC015,Provider_D,minor,41,2023-03-18T14:30:00Z,storage,region_2
INC016,Provider_A,major,112,2023-03-22T08:15:00Z,compute,region_4
INC017,Provider_E,minor,33,2023-03-26T21:50:00Z,network,region_1
INC018,Provider_C,major,178,2023-03-30T05:20:00Z,database,region_2
INC019,Provider_B,minor,19,2023-04-03T12:45:00Z,compute,region_1
INC020,Provider_A,critical,298,2023-04-07T00:30:00Z,storage,region_3
INC021,Provider_D,major,145,2023-04-11T16:10:00Z,network,region_2
INC022,Provider_C,minor,37,2023-04-15T09:35:00Z,compute,region_4
INC023,Provider_E,major,189,2023-04-19T23:00:00Z,database,region_1
INC024,Provider_A,minor,26,2023-04-23T07:25:00Z,network,region_2
INC025,Provider_B,major,156,2023-04-27T15:50:00Z,compute,region_3
INC026,Provider_C,critical,423,2023-05-01T03:15:00Z,storage,region_1
INC027,Provider_D,minor,44,2023-05-05T11:40:00Z,network,region_2
INC028,Provider_A,major,167,2023-05-09T18:05:00Z,compute,region_4
INC029,Provider_E,minor,31,2023-05-13T22:30:00Z,database,region_1
INC030,Provider_B,major,198,2023-05-17T04:55:00Z,network,region_3
INC031,Provider_C,minor,23,2023-05-21T13:20:00Z,compute,region_2
INC032,Provider_A,critical,512,2023-05-25T01:45:00Z,storage,region_1
INC033,Provider_D,major,134,2023-05-29T10:10:00Z,network,region_4
INC034,Provider_E,minor,38,2023-06-02T17:35:00Z,compute,region_2
INC035,Provider_B,major,145,2023-06-06T06:00:00Z,database,region_3
INC036,Provider_C,minor,29,2023-06-10T12:25:00Z,network,region_1
INC037,Provider_A,major,178,2023-06-14T20:50:00Z,compute,region_2
INC038,Provider_D,critical,389,2023-06-18T02:15:00Z,storage,region_4
INC039,Provider_E,minor,42,2023-06-22T09:40:00Z,network,region_1
INC040,Provider_B,major,123,2023-06-26T16:05:00Z,compute,region_3
INC041,Provider_C,minor,35,2023-06-30T23:30:00Z,database,region_2
INC042,Provider_A,major,156,2023-07-04T07:55:00Z,network,region_1
INC043,Provider_D,minor,27,2023-07-08T14:20:00Z,compute,region_4
INC044,Provider_E,critical,467,2023-07-12T00:45:00Z,storage,region_2
INC045,Provider_B,major,189,2023-07-16T08:10:00Z,network,region_3
INC046,Provider_C,minor,21,2023-07-20T15:35:00Z,compute,region_1
INC047,Provider_A,major,145,2023-07-24T22:00:00Z,database,region_2
INC048,Provider_D,minor,39,2023-07-28T05:25:00Z,network,region_4
INC049,Provider_E,major,167,2023-08-01T12:50:00Z,compute,region_1
INC050,Provider_B,critical,534,2023-08-05T19:15:00Z,storage,region_3
INC051,Provider_C,minor,33,2023-08-09T03:40:00Z,network,region_2
INC052,Provider_A,major,178,2023-08-13T10:05:00Z,compute,region_4
INC053,Provider_D,minor,46,2023-08-17T17:30:00Z,database,region_1
INC054,Provider_E,major,134,2023-08-21T01:55:00Z,network,region_2
INC055,Provider_B,minor,24,2023-08-25T08:20:00Z,compute,region_3
INC056,Provider_C,major,198,2023-08-29T15:45:00Z,storage,region_1
INC057,Provider_A,critical,478,2023-09-02T23:10:00Z,network,region_4
INC058,Provider_D,minor,36,2023-09-06T06:35:00Z,compute,region_2
INC059,Provider_E,major,156,2023-09-10T13:00:00Z,database,region_3
INC060,Provider_B,minor,28,2023-09-14T20:25:00Z,network,region_1
INC061,Provider_C,major,167,2023-09-18T04:50:00Z,compute,region_2
INC062,Provider_A,minor,43,2023-09-22T11:15:00Z,storage,region_4
INC063,Provider_D,critical,523,2023-09-26T18:40:00Z,network,region_1
INC064,Provider_E,major,189,2023-09-30T02:05:00Z,compute,region_3
INC065,Provider_B,minor,31,2023-10-04T09:30:00Z,database,region_2
INC066,Provider_C,major,145,2023-10-08T16:55:00Z,network,region_4
INC067,Provider_A,minor,25,2023-10-12T00:20:00Z,compute,region_1
INC068,Provider_D,major,178,2023-10-16T07:45:00Z,storage,region_2
INC069,Provider_E,critical,412,2023-10-20T14:10:00Z,network,region_3
INC070,Provider_B,minor,37,2023-10-24T21:35:00Z,compute,region_1
INC071,Provider_C,major,134,2023-10-28T05:00:00Z,database,region_4
INC072,Provider_A,minor,22,2023-11-01T12:25:00Z,network,region_2
INC073,Provider_D,major,198,2023-11-05T19:50:00Z,compute,region_3
INC074,Provider_E,minor,44,2023-11-09T03:15:00Z,storage,region_1
INC075,Provider_B,major,156,2023-11-13T10:40:00Z,network,region_2
INC076,Provider_C,critical,489,2023-11-17T17:05:00Z,compute,region_4
INC077,Provider_A,minor,29,2023-11-21T00:30:00Z,database,region_1
INC078,Provider_D,major,167,2023-11-25T07:55:00Z,network,region_3
INC079,Provider_E,minor,35,2023-11-29T14:20:00Z,compute,region_2
INC080,Provider_B,major,189,2023-12-03T21:45:00Z,storage,region_4
INC081,Provider_C,minor,41,2023-12-07T05:10:00Z,network,region_1
INC082,Provider_A,critical,556,2023-12-11T12:35:00Z,compute,region_2
INC083,Provider_D,major,145,2023-12-15T19:00:00Z,database,region_3
INC084,Provider_E,minor,26,2023-12-19T02:25:00Z,network,region_1
INC085,Provider_B,major,178,2023-12-23T09:50:00Z,compute,region_4
INC086,Provider_C,minor,33,2023-12-27T16:15:00Z,storage,region_2
INC087,Provider_A,major,134,2023-12-31T23:40:00Z,network,region_3
INC088,Provider_D,critical,423,2024-01-04T07:05:00Z,compute,region_1
INC089,Provider_E,minor,38,2024-01-08T13:30:00Z,database,region_2
INC090,Provider_B,major,198,2024-01-12T20:55:00Z,network,region_4
INC091,Provider_C,minor,24,2024-01-16T04:20:00Z,compute,region_1
INC092,Provider_A,major,167,2024-01-20T11:45:00Z,storage,region_3
INC093,Provider_D,minor,45,2024-01-24T18:10:00Z,network,region_2
INC094,Provider_E,major,156,2024-01-28T01:35:00Z,compute,region_4
INC095,Provider_B,critical,512,2024-02-01T08:00:00Z,database,region_1
INC096,Provider_C,minor,31,2024-02-05T14:25:00Z,network,region_2
INC097,Provider_A,major,189,2024-02-09T21:50:00Z,compute,region_3
INC098,Provider_D,minor,27,2024-02-13T05:15:00Z,storage,region_1
INC099,Provider_E,major,145,2024-02-17T12:40:00Z,network,region_4
INC100,Provider_B,minor,36,2024-02-21T19:05:00Z,compute,region_2
INC101,Provider_C,major,178,2024-02-25T02:30:00Z,database,region_3
INC102,Provider_A,critical,467,2024-02-29T09:55:00Z,network,region_1
INC103,Provider_D,minor,42,2024-03-04T16:20:00Z,compute,region_2
INC104,Provider_E,major,134,2024-03-08T23:45:00Z,storage,region_4
INC105,Provider_B,minor,23,2024-03-12T07:10:00Z,network,region_1
INC106,Provider_C,major,198,2024-03-16T14:35:00Z,compute,region_3
INC107,Provider_A,minor,39,2024-03-20T21:00:00Z,database,region_2
INC108,Provider_D,major,167,2024-03-24T04:25:00Z,network,region_4
INC109,Provider_E,critical,534,2024-03-28T11:50:00Z,compute,region_1
INC110,Provider_B,minor,28,2024-04-01T18:15:00Z,storage,region_2
INC111,Provider_C,major,156,2024-04-05T01:40:00Z,network,region_3
INC112,Provider_A,minor,34,2024-04-09T08:05:00Z,compute,region_1
INC113,Provider_D,major,189,2024-04-13T15:30:00Z,database,region_4
INC114,Provider_E,minor,21,2024-04-17T22:55:00Z,network,region_2
INC115,Provider_B,major,145,2024-04-21T06:20:00Z,compute,region_3
INC116,Provider_C,critical,478,2024-04-25T13:45:00Z,storage,region_1
INC117,Provider_A,minor,46,2024-04-29T20:10:00Z,network,region_2
INC118,Provider_D,major,178,2024-05-03T03:35:00Z,compute,region_4
INC119,Provider_E,minor,32,2024-05-07T11:00:00Z,database,region_1
INC120,Provider_B,major,134,2024-05-11T17:25:00Z,network,region_3
INC121,Provider_A,major,112,2024-05-15T00:50:00Z,compute,region_2
INC122,Provider_C,minor,25,2024-05-19T08:15:00Z,storage,region_1
INC123,Provider_D,critical,523,2024-05-23T15:40:00Z,network,region_4
INC124,Provider_E,major,198,2024-05-27T22:05:00Z,compute,region_2
INC125,Provider_B,minor,43,2024-05-31T05:30:00Z,database,region_3
INC126,Provider_A,major,167,2024-06-04T12:55:00Z,network,region_1
INC127,Provider_C,minor,29,2024-06-08T19:20:00Z,compute,region_4
INC128,Provider_D,major,156,2024-06-12T02:45:00Z,storage,region_2
INC129,Provider_E,critical,412,2024-06-16T10:10:00Z,network,region_3
INC130,Provider_B,minor,37,2024-06-20T16:35:00Z,compute,region_1
INC131,Provider_A,major,189,2024-06-24T00:00:00Z,database,region_2
INC132,Provider_C,minor,22,2024-06-28T07:25:00Z,network,region_4
INC133,Provider_D,major,145,2024-07-02T14:50:00Z,compute,region_1
INC134,Provider_E,minor,44,2024-07-06T21:15:00Z,storage,region_3
INC135,Provider_B,major,178,2024-07-10T04:40:00Z,network,region_2
INC136,Provider_A,critical,489,2024-07-14T12:05:00Z,compute,region_4
INC137,Provider_C,minor,31,2024-07-18T18:30:00Z,database,region_1
INC138,Provider_D,major,134,2024-07-22T01:55:00Z,network,region_2
INC139,Provider_E,minor,26,2024-07-26T09:20:00Z,compute,region_3
INC140,Provider_B,major,198,2024-07-30T16:45:00Z,storage,region_1
INC141,Provider_A,minor,38,2024-08-03T00:10:00Z,network,region_4
INC142,Provider_C,major,167,2024-08-07T07:35:00Z,compute,region_2
INC143,Provider_D,critical,556,2024-08-11T14:00:00Z,database,region_3
INC144,Provider_E,minor,33,2024-08-15T20:25:00Z,network,region_1
INC145,Provider_B,major,156,2024-08-19T03:50:00Z,compute,region_2
INC146,Provider_A,minor,41,2024-08-23T11:15:00Z,storage,region_4
INC147,Provider_C,major,189,2024-08-27T17:40:00Z,network,region_1
INC148,Provider_D,minor,24,2024-08-31T00:05:00Z,compute,region_3
INC149,Provider_E,major,145,2024-09-04T07:30:00Z,database,region_2
INC150,Provider_B,critical,423,2024-09-08T14:55:00Z,network,region_4
INC151,Provider_A,minor,35,2024-09-12T21:20:00Z,compute,region_1
INC152,Provider_C,major,178,2024-09-16T04:45:00Z,storage,region_2
INC153,Provider_D,minor,27,2024-09-20T12:10:00Z,network,region_3
INC154,Provider_E,major,134,2024-09-24T18:35:00Z,compute,region_1
INC155,Provider_B,minor,46,2024-09-28T01:00:00Z,database,region_4
INC156,Provider_A,major,198,2024-10-02T08:25:00Z,network,region_2
INC157,Provider_C,critical,512,2024-10-06T15:50:00Z,compute,region_3
INC158,Provider_D,minor,32,2024-10-10T22:15:00Z,storage,region_1
INC159,Provider_E,major,167,2024-10-14T05:40:00Z,network,region_2
INC160,Provider_B,minor,23,2024-10-18T13:05:00Z,compute,region_4
INC161,Provider_A,major,156,2024-10-22T19:30:00Z,database,region_1
INC162,Provider_C,minor,39,2024-10-26T02:55:00Z,network,region_3
INC163,Provider_D,major,189,2024-10-30T10:20:00Z,compute,region_2
INC164,Provider_E,critical,467,2024-11-03T16:45:00Z,storage,region_4
INC165,Provider_B,minor,28,2024-11-07T00:10:00Z,network,region_1
INC166,Provider_A,major,145,2024-11-11T07:35:00Z,compute,region_2
INC167,Provider_C,minor,34,2024-11-15T15:00:00Z,database,region_3
INC168,Provider_D,major,178,2024-11-19T21:25:00Z,network,region_1
INC169,Provider_E,minor,42,2024-11-23T04:50:00Z,compute,region_4
INC170,Provider_B,major,134,2024-11-27T12:15:00Z,storage,region_2
INC171,Provider_C,major,112,2022-01-05T08:30:00Z,compute,region_1
INC172,Provider_A,critical,534,2022-01-09T15:55:00Z,network,region_3
INC173,Provider_D,minor,25,2022-01-13T22:20:00Z,database,region_2
INC174,Provider_E,major,198,2022-01-17T05:45:00Z,compute,region_4
INC175,Provider_B,minor,36,2022-01-21T13:10:00Z,storage,region_1
INC176,Provider_A,major,167,2022-01-25T19:35:00Z,network,region_2
INC177,Provider_C,critical,478,2022-01-29T02:00:00Z,compute,region_3
INC178,Provider_D,minor,43,2022-02-02T09:25:00Z,database,region_1
INC179,Provider_E,major,156,2022-02-06T16:50:00Z,network,region_4
INC180,Provider_B,minor,29,2022-02-10T00:15:00Z,compute,region_2
INC181,Provider_A,major,189,2022-02-14T07:40:00Z,storage,region_3
INC182,Provider_C,minor,21,2022-02-18T14:05:00Z,network,region_1
INC183,Provider_D,major,145,2022-02-22T21:30:00Z,compute,region_2
INC184,Provider_E,critical,523,2022-02-26T04:55:00Z,database,region_4
INC185,Provider_B,minor,38,2022-03-02T12:20:00Z,network,region_1
INC186,Provider_A,major,178,2022-03-06T18:45:00Z,compute,region_3
INC187,Provider_C,minor,26,2022-03-10T01:10:00Z,storage,region_2
INC188,Provider_D,major,134,2022-03-14T08:35:00Z,network,region_4
INC189,Provider_E,minor,44,2022-03-18T16:00:00Z,compute,region_1
INC190,Provider_B,major,198,2022-03-22T23:25:00Z,database,region_2
INC191,Provider_A,critical,412,2022-03-26T06:50:00Z,network,region_3
INC192,Provider_C,minor,31,2022-03-30T14:15:00Z,compute,region_1
INC193,Provider_D,major,167,2022-04-03T20:40:00Z,storage,region_4
INC194,Provider_E,minor,23,2022-04-07T03:05:00Z,network,region_2
INC195,Provider_B,major,156,2022-04-11T10:30:00Z,compute,region_3
INC196,Provider_A,minor,39,2022-04-15T17:55:00Z,database,region_1
INC197,Provider_C,major,189,2022-04-19T01:20:00Z,network,region_2
INC198,Provider_D,critical,489,2022-04-23T08:45:00Z,compute,region_4
INC199,Provider_E,minor,27,2022-04-27T16:10:00Z,storage,region_1
INC200,Provider_B,major,145,2022-05-01T22:35:00Z,network,region_3
INC201,Provider_A,minor,34,2022-05-06T05:00:00Z,compute,region_2
INC202,Provider_C,major,178,2022-05-10T12:25:00Z,database,region_4
INC203,Provider_D,minor,46,2022-05-14T19:50:00Z,network,region_1
INC204,Provider_E,major,134,2022-05-18T03:15:00Z,compute,region_2
INC205,Provider_B,critical,556,2022-05-22T10:40:00Z,storage,region_3
INC206,Provider_A,minor,32,2022-05-26T18:05:00Z,network,region_1
INC207,Provider_C,major,198,2022-05-30T01:30:00Z,compute,region_4
INC208,Provider_D,minor,25,2022-06-03T08:55:00Z,database,region_2
INC209,Provider_E,major,167,2022-06-07T15:20:00Z,network,region_3
INC210,Provider_B,minor,41,2022-06-11T22:45:00Z,compute,region_1
INC211,Provider_A,major,156,2022-06-15T06:10:00Z,storage,region_2
INC212,Provider_C,critical,423,2022-06-19T13:35:00Z,network,region_4
INC213,Provider_D,minor,28,2022-06-23T20:00:00Z,compute,region_1
INC214,Provider_E,major,189,2022-06-27T03:25:00Z,database,region_3
INC215,Provider_B,minor,36,2022-07-01T10:50:00Z,network,region_2
INC216,Provider_A,major,145,2022-07-05T18:15:00Z,compute,region_4
INC217,Provider_C,minor,22,2022-07-09T01:40:00Z,storage,region_1
INC218,Provider_D,major,178,2022-07-13T09:05:00Z,network,region_2
INC219,Provider_E,critical,512,2022-07-17T16:30:00Z,compute,region_3
INC220,Provider_B,minor,43,2022-07-21T23:55:00Z,database,region_1
INC221,Provider_A,major,134,2022-07-25T07:20:00Z,network,region_4
INC222,Provider_C,minor,29,2022-07-29T14:45:00Z,compute,region_2
INC223,Provider_D,major,198,2022-08-02T22:10:00Z,storage,region_3
INC224,Provider_E,minor,37,2022-08-06T05:35:00Z,network,region_1
INC225,Provider_B,major,167,2022-08-10T13:00:00Z,compute,region_2
INC226,Provider_A,critical,467,2022-08-14T19:25:00Z,database,region_4
INC227,Provider_C,minor,24,2022-08-18T02:50:00Z,network,region_1
INC228,Provider_D,major,156,2022-08-22T10:15:00Z,compute,region_3
INC229,Provider_E,minor,45,2022-08-26T17:40:00Z,storage,region_2
INC230,Provider_B,major,189,2022-08-30T01:05:00Z,network,region_4
INC231,Provider_A,minor,31,2022-09-03T08:30:00Z,compute,region_1
INC232,Provider_C,major,145,2022-09-07T15:55:00Z,database,region_2
INC233,Provider_D,critical,534,2022-09-11T23:20:00Z,network,region_3
INC234,Provider_E,minor,26,2022-09-15T06:45:00Z,compute,region_1
INC235,Provider_B,major,178,2022-09-19T14:10:00Z,storage,region_4
INC236,Provider_A,minor,38,2022-09-23T21:35:00Z,network,region_2
INC237,Provider_C,major,134,2022-09-27T05:00:00Z,compute,region_3
INC238,Provider_D,minor,33,2022-10-01T12:25:00Z,database,region_1
INC239,Provider_E,major,198,2022-10-05T19:50:00Z,network,region_2
INC240,Provider_B,critical,478,2022-10-09T03:15:00Z,compute,region_4
INC241,Provider_A,minor,42,2022-10-13T10:40:00Z,storage,region_1
INC242,Provider_C,major,167,2022-10-17T18:05:00Z,network,region_3
INC243,Provider_D,minor,27,2022-10-21T01:30:00Z,compute,region_2
INC244,Provider_E,major,156,2022-10-25T08:55:00Z,database,region_4
INC245,Provider_B,minor,35,2022-10-29T16:20:00Z,network,region_1
INC246,Provider_A,major,189,2022-11-02T23:45:00Z,compute,region_2
INC247,Provider_C,critical,523,2022-11-06T07:10:00Z,storage,region_3
INC248,Provider_D,minor,23,2022-11-10T14:35:00Z,network,region_1
INC249,Provider_E,major,145,2022-11-14T22:00:00Z,compute,region_4
INC250,Provider_B,minor,44,2022-11-18T05:25:00Z,database,region_2
INC251,Provider_A,major,178,2022-11-22T12:50:00Z,network,region_3
INC252,Provider_C,minor,29,2022-11-26T20:15:00Z,compute,region_1
INC253,Provider_D,major,134,2022-11-30T03:40:00Z,storage,region_2
INC254,Provider_E,critical,412,2022-12-04T11:05:00Z,network,region_4
INC255,Provider_B,minor,36,2022-12-08T18:30:00Z,compute,region_1
INC256,Provider_A,major,198,2022-12-12T01:55:00Z,database,region_3
INC257,Provider_C,minor,21,2022-12-16T09:20:00Z,network,region_2
INC258,Provider_D,major,167,2022-12-20T16:45:00Z,compute,region_4
INC259,Provider_E,minor,39,2022-12-24T00:10:00Z,storage,region_1
INC260,Provider_B,major,156,2022-12-28T07:35:00Z,network,region_2
INC261,Provider_A,major,112,2021-03-15T14:00:00Z,compute,region_3
INC262,Provider_C,critical,489,2021-03-19T21:25:00Z,database,region_1
INC263,Provider_D,minor,32,2021-03-23T04:50:00Z,network,region_2
INC264,Provider_E,major,189,2021-03-27T12:15:00Z,compute,region_4
INC265,Provider_B,minor,25,2021-03-31T19:40:00Z,storage,region_1
INC266,Provider_A,major,145,2021-04-04T03:05:00Z,network,region_3
INC267,Provider_C,minor,43,2021-04-08T10:30:00Z,compute,region_2
INC268,Provider_D,major,178,2021-04-12T17:55:00Z,database,region_4
INC269,Provider_E,critical,556,2021-04-16T01:20:00Z,network,region_1
INC270,Provider_B,minor,28,2021-04-20T08:45:00Z,compute,region_2
INC271,Provider_A,major,134,2021-04-24T16:10:00Z,storage,region_3
INC272,Provider_C,minor,37,2021-04-28T23:35:00Z,network,region_1
INC273,Provider_D,major,198,2021-05-02T07:00:00Z,compute,region_4
INC274,Provider_E,minor,22,2021-05-06T14:25:00Z,database,region_2
INC275,Provider_B,major,167,2021-05-10T21:50:00Z,network,region_3
INC276,Provider_A,critical,423,2021-05-14T05:15:00Z,compute,region_1
INC277,Provider_C,minor,46,2021-05-18T12:40:00Z,storage,region_2
INC278,Provider_D,major,156,2021-05-22T20:05:00Z,network,region_4
INC279,Provider_E,minor,31,2021-05-26T03:30:00Z,compute,region_1
INC280,Provider_B,major,189,2021-05-30T10:55:00Z,database,region_3
INC281,Provider_A,minor,24,2021-06-03T18:20:00Z,network,region_2
INC282,Provider_C,major,145,2021-06-07T01:45:00Z,compute,region_4
INC283,Provider_D,critical,512,2021-06-11T09:10:00Z,storage,region_1
